"user_id","test_group"
"67965031","control"
"69383300","control"
"70565882","variant"
"69532131","control"
"71418259","variant"
"69989086","variant"
"69664458","variant"
"69958112","control"
"70409469","control"
"71227562","control"
"69691494","control"
"69957902","variant"
"71251190","control"
"69919091","control"
"72761234","control"
"62934326","control"
"72609065","control"
"70515756","control"
"67485624","control"
"69689091","variant"
"69327980","control"
"70548696","control"
"69308989","variant"
"70097403","control"
"55030560","control"
"66694165","control"
"68615632","variant"
"71658078","variant"
"69011526","control"
"69283069","variant"
"71498826","variant"
"69714664","variant"
"70940864","variant"
"58679351","variant"
"70221049","control"
"68839663","variant"
"68749272","variant"
"69978591","control"
"71638574","control"
"68594792","control"
"67937046","control"
"66673622","control"
"65771517","control"
"67073913","variant"
"69825560","variant"
"69530459","control"
"69187951","variant"
"71358866","control"
"69580496","variant"
"52128314","variant"
"65043207","variant"
"56859002","control"
"67203064","variant"
"69581276","control"
"70952113","variant"
"65036521","control"
"69961496","variant"
"70119975","variant"
"68795971","control"
"70972032","control"
"67846656","control"
"67788519","control"
"67680347","control"
"64339206","control"
"67500345","control"
"67246964","variant"
"67360199","control"
"69007879","control"
"69852139","control"
"71576650","control"
"71382109","variant"
"69051883","control"
"68905994","variant"
"71075070","control"
"54839372","control"
"67873187","control"
"65078786","control"
"69975918","variant"
"69260189","control"
"69370670","control"
"69011261","control"
"59326154","control"
"70859372","control"
"70970625","variant"
"67548683","variant"
"70845862","control"
"71057628","control"
"69983981","variant"
"70078672","control"
"66897265","variant"
"71525235","control"
"66890004","variant"
"66678102","variant"
"65164332","variant"
"72896730","control"
"50427954","variant"
"68961734","variant"
"69840749","variant"
"69046877","control"
"68593242","control"
"69202216","control"
"67892060","variant"
"67786842","control"
"69841272","variant"
"69299064","variant"
"71298075","control"
"71448061","control"
"70304341","variant"
"65367713","variant"
"63918500","control"
"68616192","control"
"68936274","control"
"67937464","control"
"71728488","variant"
"67499019","variant"
"68787830","control"
"71139685","control"
"69170677","control"
"63130032","variant"
"68039971","control"
"66492023","variant"
"66804604","variant"
"71553528","variant"
"70295085","variant"
"68921376","control"
"69701188","variant"
"69253472","control"
"66967936","variant"
"63903959","variant"
"66786579","control"
"66467685","control"
"61163245","control"
"67884608","control"
"64766863","control"
"69078996","variant"
"71022776","variant"
"69738448","variant"
"68756352","control"
"71655850","control"
"69909749","variant"
"69455008","variant"
"66668430","variant"
"72751347","variant"
"71436627","variant"
"70807457","variant"
"68965725","control"
"67347949","variant"
"64993433","control"
"67981078","control"
"69987637","variant"
"69877559","variant"
"68592731","variant"
"71787128","variant"
"69928636","control"
"64334844","control"
"60429592","variant"
"67976232","variant"
"68896370","control"
"69000655","control"
"70772726","variant"
"70975695","variant"
"70986279","variant"
"70890017","variant"
"65838163","control"
"69746798","control"
"68900063","control"
"69557464","variant"
"71400670","control"
"68616171","control"
"64034590","variant"
"69604200","variant"
"68742839","control"
"57144953","variant"
"67976760","control"
"69551583","variant"
"71015066","variant"
"67997191","control"
"68963372","control"
"58642297","control"
"71160836","variant"
"71292997","control"
"67203387","control"
"71128351","variant"
"67110081","control"
"63818744","control"
"58873030","variant"
"57611509","variant"
"72927573","variant"
"69134196","variant"
"68001695","variant"
"70558375","control"
"66876342","control"
"59219941","control"
"68034610","variant"
"70913556","control"
"68028954","control"
"71155324","variant"
"71314244","control"
"71556603","control"
"69754488","control"
"71240019","control"
"50312405","control"
"69416492","variant"
"51054342","variant"
"70093751","variant"
"71315232","variant"
"70421210","variant"
"64916743","control"
"69450328","control"
"69497380","control"
"67876630","variant"
"71686964","control"
"71512170","control"
"69701197","variant"
"63595245","variant"
"70955240","variant"
"67272111","variant"
"71055092","control"
"71564417","control"
"70894930","variant"
"69700131","control"
"69748582","control"
"64582596","variant"
"68048897","control"
"64463788","control"
"70545314","control"
"69644022","variant"
"68755463","variant"
"66167437","variant"
"69958965","control"
"66322302","variant"
"63754904","variant"
"64141860","control"
"66194489","variant"
"56895170","variant"
"70926737","control"
"63795120","variant"
"66521458","control"
"68006597","control"
"64676654","variant"
"63367360","variant"
"66245927","control"
"66494726","variant"
"64749612","variant"
"57566809","variant"
"63815975","variant"
"69030995","control"
"64318903","control"
"63574461","variant"
"61542255","variant"
"69485257","control"
"71368839","variant"
"64857775","variant"
"66353667","control"
"64627725","control"
"71051101","variant"
"65870138","variant"
"71432077","control"
"65298197","variant"
"71744132","variant"
"68577690","variant"
"68635447","control"
"68745806","variant"
"71708179","control"
"69618659","variant"
"58445994","variant"
"69487156","control"
"67675030","control"
"65909088","control"
"68816291","variant"
"69425054","variant"
"68796326","variant"
"60929827","control"
"64445359","control"
"66988451","control"
"65191094","variant"
"58029548","variant"
"70522456","variant"
"68564717","variant"
"63942523","control"
"68051745","variant"
"64678440","control"
"66289729","variant"
"69818058","variant"
"66561763","control"
"57149560","variant"
"68822644","variant"
"69995928","variant"
"68728956","variant"
"69005658","control"
"70936207","control"
"68039763","variant"
"70651227","variant"
"69295944","control"
"70972421","variant"
"48283775","variant"
"64555743","variant"
"48463529","control"
"55943109","control"
"69069036","control"
"65599823","control"
"68781381","control"
"70572845","control"
"71387770","control"
"71534655","control"
"66603812","control"
"67943105","variant"
"68676076","control"
"69411551","variant"
"60129980","control"
"67199785","control"
"54095280","control"
"64796780","control"
"64320979","variant"
"67760264","control"
"71539294","variant"
"66701929","variant"
"71095011","control"
"48254608","variant"
"67459582","variant"
"71316267","control"
"70176985","variant"
"69069758","control"
"71461848","control"
"64429009","control"
"65826795","variant"
"63800108","variant"
"65971768","control"
"66181926","control"
"66212996","variant"
"64853671","control"
"60015091","variant"
"68943556","variant"
"71418426","variant"
"61663806","variant"
"64447056","variant"
"66795912","variant"
"64719185","variant"
"66078400","control"
"64439436","variant"
"66297119","control"
"69904977","control"
"64461292","variant"
"64575192","variant"
"63940508","control"
"59060993","control"
"66913045","variant"
"66699383","variant"
"69321123","variant"
"59358285","control"
"66486786","control"
"62825798","control"
"66403146","variant"
"71695110","variant"
"66180668","control"
"69156623","variant"
"69958461","variant"
"67519961","control"
"68802599","control"
"69954822","control"
"69756574","control"
"68671166","variant"
"70300330","control"
"71044131","control"
"66559308","variant"
"66111072","variant"
"72810646","control"
"70804719","control"
"65274846","control"
"69117116","control"
"71384182","variant"
"69975132","control"
"70530063","control"
"68045132","variant"
"69570475","control"
"71016803","control"
"68947969","control"
"53552874","control"
"49863222","variant"
"69531231","variant"
"69094343","variant"
"71144422","variant"
"69570737","control"
"69543209","control"
"67676434","control"
"72843344","control"
"69649091","control"
"56113479","control"
"71426910","control"
"71322247","control"
"71666813","variant"
"51474549","variant"
"55681454","control"
"66991722","control"
"64780869","control"
"63704693","control"
"72621947","control"
"72851316","control"
"67743899","control"
"71232381","variant"
"67950034","control"
"71423256","control"
"72931091","variant"
"68680836","variant"
"71416766","variant"
"67363545","control"
"64252268","control"
"66693292","control"
"70628948","control"
"70769899","variant"
"67889433","control"
"71503591","control"
"60522528","control"
"66078921","variant"
"69910302","control"
"68709658","variant"
"61757321","variant"
"70939312","control"
"70486310","variant"
"68636626","control"
"70003029","control"
"67349019","variant"
"58475811","control"
"68672063","variant"
"69151662","control"
"49187979","control"
"71338872","control"
"71040504","control"
"71192812","variant"
"69131021","variant"
"69678122","variant"
"67888025","variant"
"64910763","variant"
"67122469","control"
"66617583","variant"
"65774728","variant"
"71044026","control"
"70973067","control"
"69926681","control"
"71202769","variant"
"68848728","control"
"69131961","variant"
"69482760","control"
"67652260","variant"
"54117169","variant"
"70720921","control"
"65574733","control"
"68934138","control"
"70134813","variant"
"70038430","control"
"66668715","variant"
"69757442","control"
"67224014","control"
"70460988","variant"
"69492304","control"
"71533823","control"
"71043606","variant"
"66733556","control"
"48510022","control"
"65502539","control"
"69901047","variant"
"69808918","control"
"71013676","control"
"69147300","variant"
"69923742","variant"
"68948418","variant"
"68674426","variant"
"70813604","control"
"66879618","variant"
"67284526","control"
"69932179","variant"
"70333968","control"
"66575601","control"
"63568774","variant"
"65762401","variant"
"65060302","control"
"66555495","variant"
"67262421","variant"
"64271628","control"
"63722430","control"
"57634248","variant"
"70932744","control"
"64210502","control"
"68793746","control"
"71035663","variant"
"70981666","control"
"68973405","variant"
"68599905","variant"
"65390707","variant"
"62491553","control"
"67860431","control"
"64975431","variant"
"69238232","control"
"69911361","variant"
"71345161","variant"
"66586775","variant"
"64221558","control"
"68593769","control"
"63956724","control"
"62436383","control"
"59460645","control"
"67165328","variant"
"61366447","variant"
"66784427","variant"
"65495902","control"
"63832654","variant"
"70172250","control"
"67245269","control"
"64554918","variant"
"64749349","variant"
"71079212","control"
"71282150","variant"
"69123722","control"
"69345866","variant"
"67630685","control"
"69720085","variant"
"68964659","variant"
"67595824","control"
"71257359","control"
"70761238","variant"
"70606361","control"
"66546103","variant"
"69605963","variant"
"68820803","variant"
"69740108","control"
"67352282","variant"
"66569357","control"
"69776609","control"
"70283130","control"
"68010300","control"
"69946591","control"
"67367261","control"
"66762821","control"
"72867899","variant"
"69794842","variant"
"68970234","variant"
"70362436","variant"
"70893850","control"
"71551844","control"
"69056947","control"
"68694650","control"
"72631836","variant"
"66795515","control"
"71563849","control"
"70765394","control"
"70008493","variant"
"68916778","variant"
"69541418","variant"
"69540649","control"
"69607197","control"
"67890153","control"
"69941751","control"
"69577249","variant"
"66275831","control"
"69672730","variant"
"67050538","variant"
"68621584","variant"
"70239867","control"
"70150325","control"
"71413123","variant"
"67999244","variant"
"67089052","variant"
"68818470","control"
"69037612","control"
"69572166","variant"
"68710484","variant"
"68788358","variant"
"67585794","control"
"67375612","variant"
"70580812","variant"
"70159439","control"
"69208606","variant"
"66965700","control"
"57143564","control"
"64343032","control"
"67346807","variant"
"66750427","control"
"69523631","variant"
"69540547","control"
"71097262","control"
"70240311","variant"
"70999442","control"
"69456329","variant"
"70617857","variant"
"68796980","control"
"69109278","control"
"70063595","control"
"68746605","control"
"70004679","variant"
"65688820","variant"
"69537985","variant"
"69920615","control"
"69520485","variant"
"54082639","variant"
"53206492","control"
"70397664","variant"
"63844024","variant"
"65800917","variant"
"69837934","variant"
"69795180","variant"
"68016723","variant"
"67932105","control"
"70897615","control"
"67935414","control"
"70229280","variant"
"70241694","variant"
"71530785","variant"
"70062113","variant"
"68882406","variant"
"70051698","control"
"70009223","variant"
"69720025","variant"
"68987329","control"
"66675907","control"
"67788094","variant"
"67097051","control"
"64486011","variant"
"67627175","variant"
"70267206","variant"
"68724132","variant"
"72818168","control"
"72859613","control"
"68891328","control"
"67996338","control"
"70945248","control"
"68703322","variant"
"57296286","control"
"67063124","control"
"66905153","variant"
"71291371","control"
"68770162","variant"
"69544044","variant"
"71146968","control"
"70987042","control"
"68008920","variant"
"69259052","variant"
"69649693","variant"
"69250750","control"
"69636978","control"
"71203370","variant"
"66583260","control"
"66187148","control"
"70301876","variant"
"67462687","variant"
"63927999","variant"
"71129781","variant"
"69478340","variant"
"67873638","variant"
"57689596","control"
"68971492","control"
"70425062","control"
"64641813","variant"
"66390056","variant"
"66516957","control"
"68912383","variant"
"71245126","control"
"70120617","control"
"66795473","variant"
"68040507","control"
"69047724","variant"
"70227372","control"
"70078121","control"
"67201600","variant"
"69876825","variant"
"70998306","variant"
"70061987","control"
"64482184","variant"
"70948152","control"
"64979119","control"
"66258872","control"
"63967028","control"
"65393719","variant"
"67894335","control"
"71043164","control"
"64454092","control"
"66972065","variant"
"67584971","control"
"68971021","control"
"71189571","control"
"65592975","control"
"58723394","control"
"65804734","control"
"64742060","control"
"67647627","control"
"70205632","control"
"71528357","control"
"69900903","control"
"64379454","variant"
"67189321","control"
"70063570","control"
"65579347","control"
"69812973","variant"
"71133783","control"
"69495013","variant"
"56817452","control"
"49074768","control"
"49265973","control"
"65581786","variant"
"71063361","control"
"70998787","control"
"69739182","control"
"66949739","control"
"69870170","control"
"69706682","control"
"68728850","variant"
"70577895","variant"
"54992105","control"
"68732419","control"
"71210795","control"
"70620662","variant"
"68907275","control"
"69032177","control"
"72834124","control"
"66089008","control"
"66738184","control"
"65793170","variant"
"67078038","control"
"67399683","control"
"66667284","control"
"67255009","control"
"65260000","variant"
"64670819","variant"
"70174469","control"
"70149928","control"
"61181396","variant"
"70377403","control"
"65492108","control"
"67250148","control"
"66311185","control"
"64452712","control"
"69870549","variant"
"69151259","variant"
"71225466","control"
"51367256","control"
"68724126","variant"
"71337309","control"
"71616202","control"
"70644689","variant"
"71383892","control"
"71387973","variant"
"65300400","control"
"69583699","variant"
"67374303","control"
"70231799","variant"
"71487214","variant"
"69770137","control"
"71098703","variant"
"69496433","variant"
"68634489","control"
"71482827","control"
"69299376","variant"
"71362908","control"
"70838374","variant"
"71165640","variant"
"71420674","variant"
"68714624","variant"
"69983016","variant"
"71287862","variant"
"66580612","variant"
"66988963","variant"
"68801051","variant"
"54544900","control"
"71235186","variant"
"68693194","control"
"70071592","variant"
"65028092","variant"
"72878532","control"
"70130953","variant"
"69535485","variant"
"69415034","control"
"67711058","control"
"70865884","variant"
"68796929","control"
"70815996","control"
"70961481","control"
"68809196","variant"
"69440502","control"
"70945417","control"
"63928956","control"
"71092507","control"
"70058466","control"
"69450467","variant"
"70242481","control"
"69696031","control"
"58759506","control"
"64341090","variant"
"66199989","variant"
"71305655","control"
"69269185","variant"
"69308226","variant"
"67849182","variant"
"67954618","control"
"69712499","variant"
"67831493","control"
"66954675","variant"
"67596506","variant"
"70333163","control"
"68889837","control"
"70917083","variant"
"70414034","variant"
"70984783","control"
"70994168","control"
"69741618","control"
"69741224","variant"
"70760097","control"
"69113853","variant"
"69316774","variant"
"70493783","control"
"60404599","control"
"67244748","variant"
"67250645","control"
"71314504","control"
"70916997","variant"
"70997460","variant"
"60195563","control"
"67081876","control"
"69864683","control"
"70967992","variant"
"69580587","variant"
"68801230","variant"
"69350049","control"
"67018448","variant"
"66181797","variant"
"69147824","control"
"67611383","control"
"70929113","variant"
"65072344","variant"
"66739899","control"
"71208486","control"
"64653781","control"
"64727320","control"
"67712659","control"
"66977464","control"
"66983827","variant"
"68683812","variant"
"64923553","control"
"66389707","variant"
"67459299","control"
"66074221","variant"
"68967883","control"
"71229052","variant"
"69855726","control"
"70035998","variant"
"71497207","control"
"67437034","control"
"69422590","control"
"67847031","control"
"68597171","control"
"69125617","variant"
"69211561","control"
"53648599","control"
"69956771","control"
"68992569","control"
"69741873","control"
"64582116","control"
"66164564","control"
"71024061","control"
"71160616","control"
"71340219","control"
"69797400","control"
"71059672","control"
"70909212","variant"
"68803565","control"
"67363740","variant"
"69426165","control"
"67812081","control"
"68799964","variant"
"69300190","control"
"71315092","control"
"69261999","control"
"67614273","control"
"70293512","control"
"67986265","control"
"67429898","variant"
"64774347","control"
"67277459","control"
"68883952","control"
"68846505","control"
"69438586","control"
"69766469","control"
"67190330","control"
"47228636","control"
"66714061","variant"
"71109843","control"
"68820002","variant"
"57190361","control"
"69627257","control"
"65170265","control"
"64458369","control"
"63945948","control"
"58456548","control"
"70217068","control"
"67932863","variant"
"64063593","control"
"70998537","control"
"65723904","control"
"68745180","control"
"69060692","control"
"64092085","variant"
"64442729","control"
"63914444","control"
"70772715","control"
"72905495","control"
"66969249","variant"
"71019945","control"
"69548801","variant"
"71058010","control"
"67625412","variant"
"67925508","variant"
"70376130","variant"
"68695885","variant"
"68820228","variant"
"68611334","variant"
"69694518","control"
"69746173","control"
"68963932","variant"
"70870959","control"
"68740095","control"
"69932596","control"
"55803600","variant"
"69521591","variant"
"71037598","variant"
"70044356","control"
"65701066","variant"
"69605537","variant"
"51273367","control"
"68578443","variant"
"66094901","variant"
"62190487","control"
"67252677","variant"
"68056894","variant"
"49352958","control"
"71406518","control"
"72642605","control"
"70319288","control"
"70877594","variant"
"67753807","variant"
"59126347","variant"
"68882875","variant"
"67894490","control"
"68827977","variant"
"69109909","control"
"68599869","control"
"70076249","variant"
"70896317","control"
"69795204","variant"
"70278075","variant"
"71161347","variant"
"70985670","variant"
"71147226","control"
"69581381","variant"
"65879218","control"
"71047120","control"
"70236201","control"
"69739335","control"
"71388287","variant"
"69705158","control"
"69869435","control"
"68912528","variant"
"68957942","variant"
"69250940","variant"
"64692633","control"
"71041643","variant"
"65601518","variant"
"69764602","variant"
"48790579","variant"
"47823937","variant"
"68749938","control"
"67111171","variant"
"71075732","variant"
